epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7118,1.05274,3.60415,1.20503,0.73447,0.63527,0.67352,0.46659,1.03591,1.46337,1.20463,0.07129,0.00029,0.00029
2,25.2681,0.98407,1.04844,1.11485,0.77856,0.67289,0.76094,0.54252,0.95364,1.25345,1.13735,0.0415802,0.000580168,0.000580168
3,37.7914,0.95432,0.99585,1.0943,0.87273,0.73821,0.82638,0.59974,0.92294,1.24354,1.12268,0.0118603,0.000860336,0.000860336
4,50.028,0.93894,0.95857,1.05921,0.86318,0.69427,0.83056,0.6029,0.97895,0.94393,1.14749,0.000950005,0.000950005,0.000950005
5,62.1914,0.96636,0.89731,1.08285,0.91947,0.79426,0.88162,0.63619,0.92337,0.89285,1.09076,0.00093334,0.00093334,0.00093334
6,74.5314,0.94101,0.84164,1.06086,0.79153,0.82536,0.83044,0.62697,0.80674,1.60074,1.01564,0.000916675,0.000916675,0.000916675
7,86.7496,0.87904,0.79268,1.03914,0.86883,0.86364,0.89497,0.70576,0.75338,0.94227,0.94564,0.00090001,0.00090001,0.00090001
8,99.1108,0.79769,0.70943,0.98693,0.9444,0.89395,0.93616,0.73352,0.73642,0.70242,0.95014,0.000883345,0.000883345,0.000883345
9,111.368,0.86279,0.71367,1.02929,0.95487,0.86043,0.9233,0.74753,0.70975,0.61015,0.95103,0.00086668,0.00086668,0.00086668
10,123.684,0.79628,0.65907,1.00108,0.97166,0.88995,0.94398,0.77278,0.68643,0.58257,0.93399,0.000850015,0.000850015,0.000850015
11,136.065,0.81298,0.71412,0.99994,0.95731,0.88995,0.94118,0.76596,0.68179,0.58926,0.92532,0.00083335,0.00083335,0.00083335
12,148.61,0.82268,0.67867,0.98071,0.96858,0.88503,0.94664,0.76458,0.70148,0.5918,0.91847,0.000816685,0.000816685,0.000816685
13,161.344,0.72926,0.61289,0.94655,0.98193,0.90984,0.95685,0.80181,0.63616,0.50694,0.91216,0.00080002,0.00080002,0.00080002
14,173.881,0.70024,0.59744,0.95047,0.97139,0.91388,0.96631,0.81368,0.59266,0.4899,0.89213,0.000783355,0.000783355,0.000783355
15,186.177,0.66947,0.54714,0.91957,0.9571,0.91627,0.96146,0.82579,0.56845,0.47523,0.88687,0.00076669,0.00076669,0.00076669
16,198.489,0.68105,0.55888,0.93443,0.97687,0.91148,0.95341,0.80462,0.61298,0.4931,0.92475,0.000750025,0.000750025,0.000750025
17,210.839,0.64582,0.53553,0.92004,0.97,0.90909,0.96042,0.83608,0.53477,0.45215,0.86821,0.00073336,0.00073336,0.00073336
18,223.297,0.6599,0.51964,0.93327,0.97957,0.91758,0.96601,0.83859,0.53666,0.4472,0.86671,0.000716695,0.000716695,0.000716695
19,235.801,0.67111,0.53277,0.93373,0.96979,0.93062,0.96745,0.83077,0.56271,0.45927,0.8776,0.00070003,0.00070003,0.00070003
20,248.177,0.66881,0.52983,0.93781,0.97215,0.91854,0.96303,0.83405,0.5706,0.4492,0.896,0.000683365,0.000683365,0.000683365
21,260.532,0.65292,0.50994,0.9115,0.95418,0.92344,0.9604,0.82453,0.54363,0.44448,0.88108,0.0006667,0.0006667,0.0006667
22,272.849,0.60497,0.4722,0.90228,0.97474,0.92309,0.97048,0.85223,0.50213,0.41122,0.85523,0.000650035,0.000650035,0.000650035
23,285.214,0.60804,0.49882,0.92057,0.9823,0.94258,0.97657,0.84618,0.50063,0.3961,0.84835,0.00063337,0.00063337,0.00063337
24,298.338,0.59077,0.47989,0.91338,0.97346,0.95215,0.97809,0.84967,0.49483,0.39404,0.84174,0.000616705,0.000616705,0.000616705
25,310.675,0.56522,0.45903,0.88674,0.98518,0.95401,0.97515,0.85889,0.49009,0.38478,0.84629,0.00060004,0.00060004,0.00060004
26,322.973,0.55623,0.43537,0.86596,0.99238,0.93419,0.97166,0.85693,0.47293,0.37411,0.83955,0.000583375,0.000583375,0.000583375
