epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0293,1.13166,4.20704,1.23314,0.52329,0.3293,0.34235,0.19713,1.56833,2.50014,1.64053,0.07129,0.00029,0.00029
2,25.486,1.18014,1.47663,1.22593,0.50323,0.47585,0.45638,0.30495,1.16387,2.8904,1.34828,0.0415802,0.000580168,0.000580168
3,37.8771,1.13174,1.30993,1.19495,0.81505,0.67312,0.76212,0.53508,1.06604,1.18121,1.15864,0.0118603,0.000860336,0.000860336
4,50.1788,1.08265,1.13892,1.17221,0.67335,0.69007,0.69004,0.50454,0.95215,1.45925,1.12002,0.000950005,0.000950005,0.000950005
5,62.3135,1.12646,1.09049,1.19532,0.74066,0.63196,0.69137,0.47393,1.08323,1.21776,1.20215,0.00093334,0.00093334,0.00093334
6,74.5227,1.07079,0.99351,1.16532,0.88483,0.76269,0.84314,0.60623,0.94823,0.97548,1.14019,0.000916675,0.000916675,0.000916675
7,86.9072,1.04651,0.95111,1.17159,0.82923,0.73608,0.81009,0.58669,0.94471,1.20428,1.12808,0.00090001,0.00090001,0.00090001
8,99.2024,1.00075,0.90979,1.13041,0.87474,0.77784,0.86391,0.65646,0.85752,1.01372,1.04478,0.000883345,0.000883345,0.000883345
9,111.701,0.9931,0.83297,1.1373,0.89927,0.82082,0.89373,0.67893,0.84198,0.75219,1.04736,0.00086668,0.00086668,0.00086668
10,123.954,0.91048,0.78407,1.07348,0.87411,0.82382,0.88435,0.68522,0.8123,0.73984,1.02426,0.000850015,0.000850015,0.000850015
11,136.305,0.84904,0.74277,1.02629,0.93679,0.80387,0.91963,0.73713,0.74871,0.6139,0.99501,0.00083335,0.00083335,0.00083335
12,149.117,0.9049,0.78734,1.08394,0.89274,0.84262,0.91629,0.69401,0.81329,0.66746,1.02842,0.000816685,0.000816685,0.000816685
13,161.894,0.86131,0.71078,1.04307,0.94743,0.82914,0.9315,0.72721,0.74674,0.63666,0.9617,0.00080002,0.00080002,0.00080002
14,174.707,0.87139,0.70488,1.04128,0.93453,0.87651,0.94295,0.74889,0.72266,0.57296,0.95472,0.000783355,0.000783355,0.000783355
15,187.624,0.80659,0.67277,1.0072,0.90646,0.82567,0.89435,0.6911,0.8051,0.66945,1.04098,0.00076669,0.00076669,0.00076669
16,200.401,0.85424,0.70061,1.04598,0.91647,0.82357,0.87149,0.64947,0.82965,0.75023,1.04864,0.000750025,0.000750025,0.000750025
17,213.542,0.86249,0.68567,1.08059,0.96908,0.87167,0.95,0.77047,0.66659,0.53981,0.95392,0.00073336,0.00073336,0.00073336
18,226.457,0.79389,0.61566,1.01011,0.98107,0.87837,0.95527,0.7854,0.66316,0.53296,0.95237,0.000716695,0.000716695,0.000716695
19,239.432,0.81625,0.64089,1.02867,0.96801,0.87923,0.94942,0.77818,0.66625,0.53575,0.9536,0.00070003,0.00070003,0.00070003
20,252.421,0.79201,0.62889,1.02521,0.95089,0.89086,0.94888,0.78629,0.67872,0.54609,0.94361,0.000683365,0.000683365,0.000683365
21,265.448,0.78696,0.59859,1.00599,0.93252,0.86998,0.93528,0.76559,0.66967,0.55554,0.95689,0.0006667,0.0006667,0.0006667
22,278.664,0.75274,0.60845,0.98669,0.95937,0.89831,0.95864,0.79175,0.63422,0.49798,0.92273,0.000650035,0.000650035,0.000650035
23,291.768,0.74187,0.59759,0.98344,0.96097,0.89831,0.95739,0.79978,0.63153,0.4981,0.92341,0.00063337,0.00063337,0.00063337
24,304.787,0.7163,0.58008,0.97689,0.96601,0.91768,0.96436,0.82238,0.57728,0.48317,0.8909,0.000616705,0.000616705,0.000616705
25,317.69,0.7197,0.56567,0.96291,0.92937,0.92392,0.96689,0.81722,0.5866,0.47673,0.90124,0.00060004,0.00060004,0.00060004
26,330.983,0.69679,0.55283,0.95023,0.96877,0.91525,0.96442,0.8343,0.54457,0.44463,0.88815,0.000583375,0.000583375,0.000583375
27,343.995,0.68018,0.53993,0.96457,0.97782,0.92736,0.97442,0.85018,0.51574,0.42092,0.88487,0.00056671,0.00056671,0.00056671
28,356.895,0.64982,0.51354,0.94298,0.97478,0.93593,0.9716,0.83968,0.54253,0.4299,0.88608,0.000550045,0.000550045,0.000550045
29,369.601,0.69169,0.53407,0.94243,0.96903,0.9322,0.97507,0.8418,0.53211,0.45627,0.86539,0.00053338,0.00053338,0.00053338
30,382.233,0.62771,0.4976,0.9184,0.97461,0.92252,0.97306,0.85229,0.51402,0.42047,0.85539,0.000516715,0.000516715,0.000516715
31,395.091,0.64887,0.53532,0.91037,0.98448,0.92159,0.97715,0.86172,0.49787,0.40943,0.85248,0.00050005,0.00050005,0.00050005
32,408.035,0.63774,0.51483,0.92447,0.96147,0.92736,0.96741,0.84624,0.51373,0.42129,0.8681,0.000483385,0.000483385,0.000483385
33,420.786,0.60305,0.47217,0.90583,0.97742,0.94318,0.97596,0.861,0.4853,0.39466,0.85501,0.00046672,0.00046672,0.00046672
34,433.716,0.59451,0.46593,0.90997,0.97521,0.95265,0.98207,0.86859,0.47515,0.37357,0.85106,0.000450055,0.000450055,0.000450055
35,446.847,0.57736,0.45329,0.91002,0.98182,0.95157,0.98242,0.87101,0.45865,0.37438,0.8499,0.00043339,0.00043339,0.00043339
36,459.577,0.57213,0.43057,0.87192,0.98256,0.95508,0.98119,0.86628,0.46639,0.36937,0.84894,0.000416725,0.000416725,0.000416725
37,472.264,0.60676,0.459,0.91671,0.98008,0.95284,0.98143,0.87318,0.4671,0.36927,0.84296,0.00040006,0.00040006,0.00040006
38,485.312,0.55936,0.41098,0.88952,0.9756,0.96827,0.98669,0.89478,0.43884,0.34612,0.83537,0.000383395,0.000383395,0.000383395
39,498.165,0.53479,0.39709,0.87477,0.97801,0.96918,0.98946,0.88663,0.4355,0.34755,0.83273,0.00036673,0.00036673,0.00036673
40,511.178,0.53602,0.4245,0.88019,0.97794,0.96852,0.98511,0.89172,0.44085,0.33873,0.83513,0.000350065,0.000350065,0.000350065
41,524.213,0.54621,0.40472,0.8977,0.98277,0.96696,0.98406,0.89469,0.43135,0.33797,0.83539,0.0003334,0.0003334,0.0003334
42,537.049,0.56246,0.4157,0.87965,0.98742,0.954,0.98857,0.88899,0.44358,0.36921,0.84057,0.000316735,0.000316735,0.000316735
43,549.767,0.53231,0.40379,0.88217,0.98137,0.96126,0.98968,0.89563,0.43589,0.34245,0.837,0.00030007,0.00030007,0.00030007
44,562.694,0.53681,0.40205,0.89577,0.97289,0.97337,0.99118,0.90342,0.4166,0.32473,0.82923,0.000283405,0.000283405,0.000283405
45,575.888,0.52251,0.40638,0.86788,0.98289,0.9734,0.99323,0.90909,0.39114,0.31756,0.82252,0.00026674,0.00026674,0.00026674
46,588.782,0.49637,0.37041,0.87698,0.98352,0.97579,0.99329,0.91019,0.39092,0.30738,0.82174,0.000250075,0.000250075,0.000250075
47,601.668,0.53198,0.37704,0.89206,0.98768,0.97059,0.98914,0.914,0.36837,0.29768,0.81757,0.00023341,0.00023341,0.00023341
48,614.636,0.49732,0.37993,0.86999,0.99503,0.9704,0.99386,0.90833,0.3772,0.30439,0.81738,0.000216745,0.000216745,0.000216745
49,627.622,0.48074,0.34578,0.85788,0.99509,0.98058,0.99373,0.91529,0.36848,0.28894,0.81375,0.00020008,0.00020008,0.00020008
50,640.559,0.50093,0.3782,0.87054,0.99263,0.97897,0.99395,0.9272,0.35668,0.28808,0.81213,0.000183415,0.000183415,0.000183415
51,658.015,0.45684,0.33749,0.85732,0.99019,0.97725,0.99399,0.92698,0.36404,0.28499,0.81561,0.00016675,0.00016675,0.00016675
52,670.73,0.42952,0.32292,0.82584,0.98535,0.98305,0.99431,0.92962,0.35382,0.28262,0.81276,0.000150085,0.000150085,0.000150085
53,683.62,0.43641,0.31775,0.83821,0.98807,0.98547,0.99464,0.93255,0.34784,0.27653,0.81037,0.00013342,0.00013342,0.00013342
