epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7564,0.76585,3.22135,1.03099,0.75377,0.62768,0.6938,0.52575,0.85833,1.38455,1.0132,0.07129,0.00029,0.00029
2,26.6305,0.70377,0.8867,1.00971,0.8781,0.76372,0.84724,0.68348,0.69014,1.25249,0.95794,0.0415802,0.000580168,0.000580168
3,39.5295,0.66325,0.76794,0.96886,0.86086,0.83532,0.88423,0.72453,0.61658,1.06709,0.92144,0.0118603,0.000860336,0.000860336
4,52.707,0.64167,0.67085,0.95341,0.87293,0.81862,0.88914,0.74553,0.59829,0.84765,0.92632,0.000950005,0.000950005,0.000950005
5,65.6508,0.66062,0.69059,0.95271,0.5101,0.73508,0.61621,0.49627,0.64497,2.55516,0.94018,0.00093334,0.00093334,0.00093334
6,78.3871,0.63921,0.65755,0.93837,0.93487,0.85639,0.91188,0.77816,0.55364,0.64008,0.90125,0.000916675,0.000916675,0.000916675
7,91.5945,0.59627,0.58219,0.93198,0.96056,0.85442,0.93326,0.80563,0.53173,0.532,0.89977,0.00090001,0.00090001,0.00090001
8,104.806,0.58365,0.60279,0.93946,0.95023,0.82018,0.91256,0.80658,0.51819,0.5691,0.89153,0.000883345,0.000883345,0.000883345
9,117.881,0.61474,0.62389,0.94535,0.95252,0.85203,0.93326,0.82612,0.51571,0.53309,0.89272,0.00086668,0.00086668,0.00086668
10,131.077,0.58546,0.53788,0.92352,0.95392,0.88927,0.94804,0.84037,0.48633,0.47936,0.88351,0.000850015,0.000850015,0.000850015
11,144.093,0.57898,0.50234,0.90443,0.95995,0.91529,0.95604,0.82816,0.51444,0.49527,0.89229,0.00083335,0.00083335,0.00083335
12,157.015,0.57257,0.52499,0.91003,0.97013,0.93025,0.96178,0.84636,0.48017,0.45225,0.86624,0.000816685,0.000816685,0.000816685
13,170.363,0.5708,0.53944,0.92351,0.96016,0.92039,0.95414,0.85519,0.44019,0.43868,0.8588,0.00080002,0.00080002,0.00080002
14,183.376,0.55906,0.47609,0.91294,0.94823,0.91792,0.9549,0.86123,0.45376,0.42109,0.86372,0.000783355,0.000783355,0.000783355
15,196.288,0.50174,0.48046,0.87174,0.96477,0.91647,0.95961,0.8659,0.42698,0.40624,0.84701,0.00076669,0.00076669,0.00076669
16,209.313,0.48486,0.45214,0.87467,0.95529,0.93317,0.96229,0.8708,0.41002,0.40289,0.85083,0.000750025,0.000750025,0.000750025
17,222.264,0.4898,0.45326,0.8669,0.9707,0.92601,0.96498,0.87707,0.39474,0.38382,0.83334,0.00073336,0.00073336,0.00073336
18,235.502,0.5038,0.46181,0.87765,0.96764,0.92771,0.96375,0.86725,0.41942,0.39528,0.84039,0.000716695,0.000716695,0.000716695
19,248.603,0.50473,0.43928,0.88768,0.96224,0.91232,0.96598,0.86821,0.43357,0.39491,0.85352,0.00070003,0.00070003,0.00070003
20,261.628,0.48677,0.41262,0.88533,0.96133,0.88988,0.96586,0.88639,0.39054,0.35759,0.83547,0.000683365,0.000683365,0.000683365
21,274.773,0.50209,0.43627,0.87602,0.98229,0.9266,0.97171,0.88504,0.40066,0.36105,0.83637,0.0006667,0.0006667,0.0006667
22,287.583,0.44941,0.40802,0.85796,0.96578,0.94309,0.97287,0.89228,0.39211,0.35344,0.83142,0.000650035,0.000650035,0.000650035
23,300.847,0.47181,0.42425,0.88243,0.98261,0.94411,0.97554,0.90665,0.36134,0.33989,0.81949,0.00063337,0.00063337,0.00063337
24,313.925,0.45119,0.40478,0.85825,0.989,0.93556,0.97205,0.89675,0.3664,0.35512,0.82187,0.000616705,0.000616705,0.000616705
25,326.888,0.4415,0.38891,0.85887,0.97824,0.94033,0.97376,0.90608,0.35793,0.34502,0.8174,0.00060004,0.00060004,0.00060004
26,339.776,0.44232,0.38292,0.8512,0.97636,0.95227,0.97447,0.90468,0.36125,0.33503,0.82248,0.000583375,0.000583375,0.000583375
27,352.929,0.39913,0.35837,0.8432,0.97798,0.95395,0.97695,0.91383,0.33809,0.31558,0.81603,0.00056671,0.00056671,0.00056671
