epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0706,1.05024,2.25452,1.17932,0.61466,0.66462,0.64296,0.46151,0.9361,2.65555,1.09114,0.067541,0.000327869,0.000327869
2,42.7217,0.95615,1.23358,1.08207,0.74536,0.72017,0.76015,0.57676,0.86061,1.47384,1.02445,0.0345327,0.000652938,0.000652938
3,63.1921,0.92516,1.12646,1.08133,0.71073,0.70321,0.7587,0.56978,0.93256,2.11297,1.12852,0.00151612,0.000969675,0.000969675
4,82.276,0.93827,1.06647,1.09546,0.79377,0.76197,0.78804,0.59285,0.90793,1.16181,1.0868,0.000962504,0.000962504,0.000962504
5,101.455,0.85977,0.89175,1.04674,0.90719,0.74481,0.82966,0.64108,0.8526,1.00955,1.04422,0.000950005,0.000950005,0.000950005
6,121.589,0.89694,0.89247,1.06525,0.82559,0.7817,0.82732,0.6441,0.86652,0.99574,1.03289,0.000937506,0.000937506,0.000937506
7,143.277,0.85613,0.85356,1.03217,0.91985,0.77686,0.86805,0.70668,0.7514,0.83901,0.98112,0.000925008,0.000925008,0.000925008
8,163.018,0.78961,0.77299,0.99983,0.89422,0.82231,0.88169,0.72334,0.72786,0.74415,0.98957,0.000912509,0.000912509,0.000912509
9,182.959,0.75319,0.74332,0.99908,0.96395,0.79349,0.86839,0.71481,0.74968,0.83459,0.99048,0.00090001,0.00090001,0.00090001
10,202.808,0.76393,0.70309,0.99196,0.93471,0.82246,0.89685,0.74708,0.69216,0.64922,0.97354,0.000887511,0.000887511,0.000887511
11,223.01,0.7538,0.70909,0.99137,0.9004,0.78038,0.85875,0.71048,0.75723,0.82368,0.99492,0.000875012,0.000875012,0.000875012
12,243.127,0.72298,0.65687,0.97744,0.9492,0.79952,0.88689,0.73776,0.70015,0.73255,0.97594,0.000862514,0.000862514,0.000862514
13,263.257,0.69014,0.6107,0.95611,0.94718,0.83212,0.89997,0.77359,0.65043,0.67225,0.93521,0.000850015,0.000850015,0.000850015
14,283.549,0.70696,0.62055,0.96788,0.94539,0.83574,0.88912,0.73003,0.72635,0.69846,0.9835,0.000837516,0.000837516,0.000837516
15,303.93,0.67656,0.59566,0.9616,0.9549,0.8496,0.91687,0.75586,0.69243,0.59562,0.98223,0.000825017,0.000825017,0.000825017
