epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9184,1.14352,2.12167,1.27539,0.56906,0.45557,0.39259,0.2391,1.35835,4.74297,1.44783,0.0677934,0.000657277,0.000657277
2,125.281,1.20371,1.44895,1.35002,0.77024,0.64579,0.71989,0.49623,1.14446,1.95389,1.40471,0.0351201,0.00131732,0.00131732
3,185.452,1.26251,1.34238,1.41589,0.79677,0.63227,0.7094,0.48441,1.28446,1.43292,1.48662,0.00244019,0.00197071,0.00197071
4,244.554,1.24629,1.24478,1.37448,0.72279,0.59508,0.64275,0.41202,1.4262,1.74666,1.59253,0.00197,0.00197,0.00197
5,303.036,1.23775,1.21052,1.37902,0.7144,0.62579,0.67903,0.45584,1.31379,1.55826,1.52249,0.00196,0.00196,0.00196
6,362.133,1.18725,1.16795,1.36752,0.75758,0.7064,0.74261,0.52112,1.18481,1.26137,1.39138,0.00195001,0.00195001,0.00195001
7,420.679,1.15992,1.12548,1.33563,0.84714,0.69702,0.77039,0.57588,1.0004,1.11014,1.28288,0.00194001,0.00194001,0.00194001
8,480.211,1.16064,1.11912,1.32023,0.87415,0.71444,0.80148,0.59708,1.04767,1.08528,1.25336,0.00193001,0.00193001,0.00193001
9,539.035,1.0951,0.99153,1.28138,0.79139,0.73095,0.81687,0.61042,1.00596,0.97327,1.22905,0.00192001,0.00192001,0.00192001
10,597.49,1.02335,0.96084,1.24132,0.85479,0.77924,0.85217,0.64746,0.90416,0.84809,1.14933,0.00191001,0.00191001,0.00191001
11,656.233,1.02043,0.92172,1.22693,0.9095,0.74719,0.81421,0.64592,0.85991,1.01656,1.15204,0.00190001,0.00190001,0.00190001
12,715.123,1.04599,0.94278,1.24888,0.93563,0.78682,0.86191,0.67525,0.87855,0.81552,1.13396,0.00189001,0.00189001,0.00189001
13,774.483,0.98324,0.90644,1.21389,0.94253,0.77033,0.86575,0.66963,0.90984,0.79621,1.217,0.00188001,0.00188001,0.00188001
14,832.961,0.96938,0.87385,1.19691,0.92558,0.76492,0.84628,0.6662,0.88203,0.84422,1.15315,0.00187001,0.00187001,0.00187001
15,891.601,0.98261,0.8662,1.20746,0.89866,0.70673,0.8106,0.63118,0.88712,0.8862,1.1549,0.00186001,0.00186001,0.00186001
16,950.412,0.93352,0.8034,1.1743,0.82481,0.76359,0.77445,0.58805,0.92265,1.01892,1.17177,0.00185002,0.00185002,0.00185002
17,1009.38,0.90314,0.80886,1.14539,0.85842,0.57055,0.66985,0.51831,1.07891,1.74924,1.31971,0.00184002,0.00184002,0.00184002
18,1068.06,0.91476,0.83424,1.17041,0.91185,0.79348,0.85895,0.66894,0.89842,0.79208,1.15538,0.00183002,0.00183002,0.00183002
19,1126.8,0.91856,0.79516,1.17026,0.90566,0.70859,0.79631,0.62092,0.92147,1.07456,1.18412,0.00182002,0.00182002,0.00182002
20,1185.54,0.91,0.78869,1.17388,0.91799,0.81001,0.88843,0.70063,0.80605,0.68168,1.10179,0.00181002,0.00181002,0.00181002
21,1251.54,0.85129,0.73254,1.13322,0.96055,0.83452,0.90232,0.72275,0.81633,0.63775,1.10832,0.00180002,0.00180002,0.00180002
22,1311.41,0.85086,0.7191,1.11988,0.96729,0.81192,0.90285,0.72525,0.76508,0.66772,1.06173,0.00179002,0.00179002,0.00179002
23,1370.4,0.9224,0.78301,1.17997,0.93201,0.82338,0.88894,0.7232,0.73622,0.68194,1.07546,0.00178002,0.00178002,0.00178002
24,1429.46,0.87581,0.73503,1.12886,0.95499,0.79207,0.88237,0.72639,0.72127,0.63762,1.02764,0.00177002,0.00177002,0.00177002
25,1498.29,0.8463,0.73936,1.13234,0.94357,0.78251,0.87225,0.70266,0.81705,0.72577,1.11262,0.00176002,0.00176002,0.00176002
26,1558.41,0.83102,0.69426,1.11358,0.95411,0.81747,0.89628,0.73418,0.74231,0.61363,1.05048,0.00175002,0.00175002,0.00175002
27,1619.89,0.81479,0.69549,1.09684,0.95662,0.80304,0.88661,0.7308,0.73168,0.70427,1.06663,0.00174003,0.00174003,0.00174003
28,1686.3,0.81153,0.68132,1.09471,0.94841,0.82589,0.90701,0.74503,0.70453,0.57986,1.02795,0.00173003,0.00173003,0.00173003
29,1746.04,0.80277,0.67134,1.09507,0.94759,0.84511,0.92303,0.76843,0.64315,0.53419,1.00076,0.00172003,0.00172003,0.00172003
30,1810.96,0.794,0.67697,1.08296,0.96283,0.86361,0.91307,0.76589,0.67351,0.56868,1.0196,0.00171003,0.00171003,0.00171003
31,1872.5,0.78678,0.66722,1.07902,0.9326,0.81612,0.8693,0.71886,0.72808,0.71945,1.0625,0.00170003,0.00170003,0.00170003
32,1932.79,0.80953,0.6716,1.10023,0.92693,0.81789,0.88528,0.70577,0.83069,0.74432,1.14815,0.00169003,0.00169003,0.00169003
33,1992.18,0.79776,0.65047,1.08562,0.92702,0.84302,0.90058,0.74383,0.70541,0.62314,1.04325,0.00168003,0.00168003,0.00168003
34,2052.18,0.76653,0.64888,1.07295,0.9684,0.82252,0.90516,0.7637,0.67443,0.57299,1.03539,0.00167003,0.00167003,0.00167003
35,2111.63,0.80333,0.68782,1.09428,0.91391,0.84267,0.89155,0.72372,0.76045,0.65186,1.07109,0.00166003,0.00166003,0.00166003
36,2171.49,0.75795,0.65674,1.07981,0.91282,0.85589,0.90642,0.74529,0.72354,0.62102,1.04116,0.00165003,0.00165003,0.00165003
37,2231.5,0.75078,0.63734,1.06437,0.95653,0.83973,0.91306,0.75352,0.69215,0.60833,1.03556,0.00164004,0.00164004,0.00164004
38,2289.65,0.74526,0.61807,1.06417,0.93214,0.84595,0.89563,0.74029,0.71525,0.65452,1.07258,0.00163004,0.00163004,0.00163004
39,2347.91,0.75993,0.62128,1.05712,0.88873,0.80785,0.8784,0.71267,0.75694,0.71743,1.08779,0.00162004,0.00162004,0.00162004
40,2406.31,0.75841,0.62815,1.07194,0.9725,0.85604,0.91289,0.77542,0.62364,0.51449,0.99481,0.00161004,0.00161004,0.00161004
41,2464.25,0.70705,0.56475,1.05539,0.94156,0.87744,0.91441,0.78918,0.61515,0.51586,0.99669,0.00160004,0.00160004,0.00160004
42,2524.01,0.72627,0.59734,1.05409,0.93518,0.85779,0.90206,0.76173,0.67647,0.55453,1.04276,0.00159004,0.00159004,0.00159004
43,2584.21,0.74903,0.62231,1.05585,0.94485,0.82461,0.89743,0.75957,0.66651,0.56681,1.03119,0.00158004,0.00158004,0.00158004
44,2642.37,0.69466,0.59353,1.02676,0.93947,0.87716,0.91511,0.78167,0.63401,0.52337,0.98643,0.00157004,0.00157004,0.00157004
45,2700.79,0.69241,0.57484,1.03204,0.91009,0.88612,0.92069,0.80757,0.59243,0.47572,0.97466,0.00156004,0.00156004,0.00156004
46,2759.75,0.72403,0.59994,1.03673,0.93636,0.87236,0.91504,0.78457,0.60519,0.49565,0.98263,0.00155005,0.00155005,0.00155005
47,2818.51,0.69097,0.55342,1.01362,0.96057,0.8525,0.91539,0.79061,0.60385,0.51146,0.99383,0.00154005,0.00154005,0.00154005
48,2877.34,0.7156,0.58091,1.04352,0.9647,0.84914,0.91521,0.78414,0.61782,0.52745,1.00342,0.00153005,0.00153005,0.00153005
49,2936.41,0.71707,0.58166,1.05076,0.95524,0.84548,0.91003,0.77253,0.61709,0.49513,0.98524,0.00152005,0.00152005,0.00152005
50,2994.21,0.68469,0.57574,1.03135,0.92943,0.84341,0.91006,0.76888,0.6332,0.53919,0.98449,0.00151005,0.00151005,0.00151005
51,3051.56,0.66617,0.54063,1.02599,0.95171,0.85202,0.92356,0.77707,0.66746,0.50915,1.02863,0.00150005,0.00150005,0.00150005
52,3110.16,0.69529,0.5682,1.03143,0.98107,0.79477,0.90118,0.7688,0.6382,0.56894,0.99938,0.00149005,0.00149005,0.00149005
